Participant	block_order	group	trial	A	B	DA	DB	R	index	ID	PA	PB
2001	1	4	1	60	60	0	7	0	1	1	1	1
2001	1	4	2	54	60	0	7	0	1	1	1	1
2001	1	4	3	48	60	0	7	1	1	1	1	1
2001	1	4	4	42	60	0	7	1	1	1	1	1
2001	1	4	5	36	60	0	7	1	1	1	1	1
2001	1	4	6	30	60	0	7	1	1	1	1	1
2001	1	4	7	24	60	0	7	1	1	1	1	1
2001	1	4	8	18	60	0	7	1	1	1	1	1
2001	1	4	9	12	60	0	7	1	1	1	1	1
2001	1	4	10	6	60	0	7	1	1	1	1	1
2001	1	4	11	60	60	0	15	0	2	1	1	1
2001	1	4	12	54	60	0	15	1	2	1	1	1
2001	1	4	13	48	60	0	15	1	2	1	1	1
2001	1	4	14	42	60	0	15	1	2	1	1	1
2001	1	4	15	36	60	0	15	1	2	1	1	1
2001	1	4	16	30	60	0	15	1	2	1	1	1
2001	1	4	17	24	60	0	15	1	2	1	1	1
2001	1	4	18	18	60	0	15	1	2	1	1	1
2001	1	4	19	12	60	0	15	1	2	1	1	1
2001	1	4	20	6	60	0	15	1	2	1	1	1
2001	1	4	21	60	60	0	101	0	3	1	1	1
2001	1	4	22	54	60	0	101	1	3	1	1	1
2001	1	4	23	48	60	0	101	1	3	1	1	1
2001	1	4	24	42	60	0	101	1	3	1	1	1
2001	1	4	25	36	60	0	101	1	3	1	1	1
2001	1	4	26	30	60	0	101	1	3	1	1	1
2001	1	4	27	24	60	0	101	1	3	1	1	1
2001	1	4	28	18	60	0	101	1	3	1	1	1
2001	1	4	29	12	60	0	101	1	3	1	1	1
2001	1	4	30	6	60	0	101	1	3	1	1	1
2001	1	4	31	60	60	0	29	0	4	1	1	1
2001	1	4	32	54	60	0	29	1	4	1	1	1
2001	1	4	33	48	60	0	29	1	4	1	1	1
2001	1	4	34	42	60	0	29	1	4	1	1	1
2001	1	4	35	36	60	0	29	1	4	1	1	1
2001	1	4	36	30	60	0	29	1	4	1	1	1
2001	1	4	37	24	60	0	29	1	4	1	1	1
2001	1	4	38	18	60	0	29	1	4	1	1	1
2001	1	4	39	12	60	0	29	1	4	1	1	1
2001	1	4	40	6	60	0	29	1	4	1	1	1
2001	1	4	41	60	60	0	56	0	5	1	1	1
2001	1	4	42	54	60	0	56	0	5	1	1	1
2001	1	4	43	48	60	0	56	1	5	1	1	1
2001	1	4	44	42	60	0	56	1	5	1	1	1
2001	1	4	45	36	60	0	56	1	5	1	1	1
2001	1	4	46	30	60	0	56	1	5	1	1	1
2001	1	4	47	24	60	0	56	1	5	1	1	1
2001	1	4	48	18	60	0	56	1	5	1	1	1
2001	1	4	49	12	60	0	56	1	5	1	1	1
2001	1	4	50	6	60	0	56	1	5	1	1	1
2005	2	4	1	6	60	0	15	1	1	2	1	1
2005	2	4	2	12	60	0	15	1	1	2	1	1
2005	2	4	3	18	60	0	15	1	1	2	1	1
2005	2	4	4	24	60	0	15	1	1	2	1	1
2005	2	4	5	30	60	0	15	0	1	2	1	1
2005	2	4	6	36	60	0	15	0	1	2	1	1
2005	2	4	7	42	60	0	15	0	1	2	1	1
2005	2	4	8	48	60	0	15	0	1	2	1	1
2005	2	4	9	54	60	0	15	0	1	2	1	1
2005	2	4	10	60	60	0	15	0	1	2	1	1
2005	2	4	11	6	60	0	29	1	2	2	1	1
2005	2	4	12	12	60	0	29	1	2	2	1	1
2005	2	4	13	18	60	0	29	1	2	2	1	1
2005	2	4	14	24	60	0	29	1	2	2	1	1
2005	2	4	15	30	60	0	29	1	2	2	1	1
2005	2	4	16	36	60	0	29	0	2	2	1	1
2005	2	4	17	42	60	0	29	0	2	2	1	1
2005	2	4	18	48	60	0	29	0	2	2	1	1
2005	2	4	19	54	60	0	29	0	2	2	1	1
2005	2	4	20	60	60	0	29	0	2	2	1	1
2005	2	4	21	6	60	0	7	1	3	2	1	1
2005	2	4	22	12	60	0	7	1	3	2	1	1
2005	2	4	23	18	60	0	7	1	3	2	1	1
2005	2	4	24	24	60	0	7	1	3	2	1	1
2005	2	4	25	30	60	0	7	1	3	2	1	1
2005	2	4	26	36	60	0	7	1	3	2	1	1
2005	2	4	27	42	60	0	7	0	3	2	1	1
2005	2	4	28	48	60	0	7	0	3	2	1	1
2005	2	4	29	54	60	0	7	0	3	2	1	1
2005	2	4	30	60	60	0	7	0	3	2	1	1
2005	2	4	31	6	60	0	56	0	4	2	1	1
2005	2	4	32	12	60	0	56	0	4	2	1	1
2005	2	4	33	18	60	0	56	0	4	2	1	1
2005	2	4	34	24	60	0	56	0	4	2	1	1
2005	2	4	35	30	60	0	56	0	4	2	1	1
2005	2	4	36	36	60	0	56	0	4	2	1	1
2005	2	4	37	42	60	0	56	0	4	2	1	1
2005	2	4	38	48	60	0	56	0	4	2	1	1
2005	2	4	39	54	60	0	56	0	4	2	1	1
2005	2	4	40	60	60	0	56	0	4	2	1	1
2005	2	4	41	6	60	0	101	0	5	2	1	1
2005	2	4	42	12	60	0	101	0	5	2	1	1
2005	2	4	43	18	60	0	101	0	5	2	1	1
2005	2	4	44	24	60	0	101	0	5	2	1	1
2005	2	4	45	30	60	0	101	0	5	2	1	1
2005	2	4	46	36	60	0	101	0	5	2	1	1
2005	2	4	47	42	60	0	101	0	5	2	1	1
2005	2	4	48	48	60	0	101	0	5	2	1	1
2005	2	4	49	54	60	0	101	0	5	2	1	1
2005	2	4	50	60	60	0	101	0	5	2	1	1
2006	3	4	1	60	60	0	29	0	1	3	1	1
2006	3	4	2	54	60	0	29	1	1	3	1	1
2006	3	4	3	48	60	0	29	1	1	3	1	1
2006	3	4	4	42	60	0	29	1	1	3	1	1
2006	3	4	5	36	60	0	29	1	1	3	1	1
2006	3	4	6	30	60	0	29	1	1	3	1	1
2006	3	4	7	24	60	0	29	1	1	3	1	1
2006	3	4	8	18	60	0	29	1	1	3	1	1
2006	3	4	9	12	60	0	29	1	1	3	1	1
2006	3	4	10	6	60	0	29	1	1	3	1	1
2006	3	4	11	60	60	0	56	0	2	3	1	1
2006	3	4	12	54	60	0	56	0	2	3	1	1
2006	3	4	13	48	60	0	56	0	2	3	1	1
2006	3	4	14	42	60	0	56	1	2	3	1	1
2006	3	4	15	36	60	0	56	1	2	3	1	1
2006	3	4	16	30	60	0	56	0	2	3	1	1
2006	3	4	17	24	60	0	56	0	2	3	1	1
2006	3	4	18	18	60	0	56	1	2	3	1	1
2006	3	4	19	12	60	0	56	0	2	3	1	1
2006	3	4	20	6	60	0	56	0	2	3	1	1
2006	3	4	21	60	60	0	15	0	3	3	1	1
2006	3	4	22	54	60	0	15	0	3	3	1	1
2006	3	4	23	48	60	0	15	0	3	3	1	1
2006	3	4	24	42	60	0	15	0	3	3	1	1
2006	3	4	25	36	60	0	15	1	3	3	1	1
2006	3	4	26	30	60	0	15	1	3	3	1	1
2006	3	4	27	24	60	0	15	1	3	3	1	1
2006	3	4	28	18	60	0	15	1	3	3	1	1
2006	3	4	29	12	60	0	15	1	3	3	1	1
2006	3	4	30	6	60	0	15	1	3	3	1	1
2006	3	4	31	60	60	0	101	0	4	3	1	1
2006	3	4	32	54	60	0	101	0	4	3	1	1
2006	3	4	33	48	60	0	101	0	4	3	1	1
2006	3	4	34	42	60	0	101	0	4	3	1	1
2006	3	4	35	36	60	0	101	0	4	3	1	1
2006	3	4	36	30	60	0	101	0	4	3	1	1
2006	3	4	37	24	60	0	101	0	4	3	1	1
2006	3	4	38	18	60	0	101	0	4	3	1	1
2006	3	4	39	12	60	0	101	0	4	3	1	1
2006	3	4	40	6	60	0	101	0	4	3	1	1
2006	3	4	41	60	60	0	7	0	5	3	1	1
2006	3	4	42	54	60	0	7	1	5	3	1	1
2006	3	4	43	48	60	0	7	1	5	3	1	1
2006	3	4	44	42	60	0	7	1	5	3	1	1
2006	3	4	45	36	60	0	7	1	5	3	1	1
2006	3	4	46	30	60	0	7	1	5	3	1	1
2006	3	4	47	24	60	0	7	1	5	3	1	1
2006	3	4	48	18	60	0	7	1	5	3	1	1
2006	3	4	49	12	60	0	7	1	5	3	1	1
2006	3	4	50	6	60	0	7	1	5	3	1	1
2008	4	4	1	60	60	0	56	0	1	4	1	1
2008	4	4	2	54	60	0	56	1	1	4	1	1
2008	4	4	3	48	60	0	56	1	1	4	1	1
2008	4	4	4	42	60	0	56	1	1	4	1	1
2008	4	4	5	36	60	0	56	1	1	4	1	1
2008	4	4	6	30	60	0	56	1	1	4	1	1
2008	4	4	7	24	60	0	56	1	1	4	1	1
2008	4	4	8	18	60	0	56	1	1	4	1	1
2008	4	4	9	12	60	0	56	1	1	4	1	1
2008	4	4	10	6	60	0	56	1	1	4	1	1
2008	4	4	11	60	60	0	101	0	2	4	1	1
2008	4	4	12	54	60	0	101	0	2	4	1	1
2008	4	4	13	48	60	0	101	0	2	4	1	1
2008	4	4	14	42	60	0	101	0	2	4	1	1
2008	4	4	15	36	60	0	101	0	2	4	1	1
2008	4	4	16	30	60	0	101	0	2	4	1	1
2008	4	4	17	24	60	0	101	0	2	4	1	1
2008	4	4	18	18	60	0	101	0	2	4	1	1
2008	4	4	19	12	60	0	101	0	2	4	1	1
2008	4	4	20	6	60	0	101	1	2	4	1	1
2008	4	4	21	60	60	0	29	0	3	4	1	1
2008	4	4	22	54	60	0	29	0	3	4	1	1
2008	4	4	23	48	60	0	29	0	3	4	1	1
2008	4	4	24	42	60	0	29	0	3	4	1	1
2008	4	4	25	36	60	0	29	1	3	4	1	1
2008	4	4	26	30	60	0	29	1	3	4	1	1
2008	4	4	27	24	60	0	29	1	3	4	1	1
2008	4	4	28	18	60	0	29	1	3	4	1	1
2008	4	4	29	12	60	0	29	1	3	4	1	1
2008	4	4	30	6	60	0	29	1	3	4	1	1
2008	4	4	31	60	60	0	7	1	4	4	1	1
2008	4	4	32	54	60	0	7	1	4	4	1	1
2008	4	4	33	48	60	0	7	0	4	4	1	1
2008	4	4	34	42	60	0	7	1	4	4	1	1
2008	4	4	35	36	60	0	7	1	4	4	1	1
2008	4	4	36	30	60	0	7	1	4	4	1	1
2008	4	4	37	24	60	0	7	1	4	4	1	1
2008	4	4	38	18	60	0	7	1	4	4	1	1
2008	4	4	39	12	60	0	7	1	4	4	1	1
2008	4	4	40	6	60	0	7	1	4	4	1	1
2008	4	4	41	60	60	0	15	0	5	4	1	1
2008	4	4	42	54	60	0	15	0	5	4	1	1
2008	4	4	43	48	60	0	15	0	5	4	1	1
2008	4	4	44	42	60	0	15	0	5	4	1	1
2008	4	4	45	36	60	0	15	0	5	4	1	1
2008	4	4	46	30	60	0	15	1	5	4	1	1
2008	4	4	47	24	60	0	15	0	5	4	1	1
2008	4	4	48	18	60	0	15	1	5	4	1	1
2008	4	4	49	12	60	0	15	1	5	4	1	1
2008	4	4	50	6	60	0	15	1	5	4	1	1
2009	5	4	1	60	60	0	101	0	1	5	1	1
2009	5	4	2	54	60	0	101	0	1	5	1	1
2009	5	4	3	48	60	0	101	0	1	5	1	1
2009	5	4	4	42	60	0	101	0	1	5	1	1
2009	5	4	5	36	60	0	101	0	1	5	1	1
2009	5	4	6	30	60	0	101	0	1	5	1	1
2009	5	4	7	24	60	0	101	0	1	5	1	1
2009	5	4	8	18	60	0	101	0	1	5	1	1
2009	5	4	9	12	60	0	101	0	1	5	1	1
2009	5	4	10	6	60	0	101	0	1	5	1	1
2009	5	4	11	60	60	0	7	0	2	5	1	1
2009	5	4	12	54	60	0	7	0	2	5	1	1
2009	5	4	13	48	60	0	7	1	2	5	1	1
2009	5	4	14	42	60	0	7	0	2	5	1	1
2009	5	4	15	36	60	0	7	0	2	5	1	1
2009	5	4	16	30	60	0	7	1	2	5	1	1
2009	5	4	17	24	60	0	7	1	2	5	1	1
2009	5	4	18	18	60	0	7	1	2	5	1	1
2009	5	4	19	12	60	0	7	1	2	5	1	1
2009	5	4	20	6	60	0	7	1	2	5	1	1
2009	5	4	21	60	60	0	56	0	3	5	1	1
2009	5	4	22	54	60	0	56	0	3	5	1	1
2009	5	4	23	48	60	0	56	0	3	5	1	1
2009	5	4	24	42	60	0	56	0	3	5	1	1
2009	5	4	25	36	60	0	56	0	3	5	1	1
2009	5	4	26	30	60	0	56	0	3	5	1	1
2009	5	4	27	24	60	0	56	0	3	5	1	1
2009	5	4	28	18	60	0	56	0	3	5	1	1
2009	5	4	29	12	60	0	56	0	3	5	1	1
2009	5	4	30	6	60	0	56	0	3	5	1	1
2009	5	4	31	60	60	0	15	0	4	5	1	1
2009	5	4	32	54	60	0	15	0	4	5	1	1
2009	5	4	33	48	60	0	15	0	4	5	1	1
2009	5	4	34	42	60	0	15	0	4	5	1	1
2009	5	4	35	36	60	0	15	0	4	5	1	1
2009	5	4	36	30	60	0	15	0	4	5	1	1
2009	5	4	37	24	60	0	15	1	4	5	1	1
2009	5	4	38	18	60	0	15	1	4	5	1	1
2009	5	4	39	12	60	0	15	1	4	5	1	1
2009	5	4	40	6	60	0	15	1	4	5	1	1
2009	5	4	41	60	60	0	29	0	5	5	1	1
2009	5	4	42	54	60	0	29	0	5	5	1	1
2009	5	4	43	48	60	0	29	0	5	5	1	1
2009	5	4	44	42	60	0	29	0	5	5	1	1
2009	5	4	45	36	60	0	29	0	5	5	1	1
2009	5	4	46	30	60	0	29	0	5	5	1	1
2009	5	4	47	24	60	0	29	1	5	5	1	1
2009	5	4	48	18	60	0	29	1	5	5	1	1
2009	5	4	49	12	60	0	29	1	5	5	1	1
2009	5	4	50	6	60	0	29	1	5	5	1	1
2011	6	4	1	60	60	0	56	0	1	6	1	1
2011	6	4	2	54	60	0	56	0	1	6	1	1
2011	6	4	3	48	60	0	56	1	1	6	1	1
2011	6	4	4	42	60	0	56	0	1	6	1	1
2011	6	4	5	36	60	0	56	1	1	6	1	1
2011	6	4	6	30	60	0	56	0	1	6	1	1
2011	6	4	7	24	60	0	56	0	1	6	1	1
2011	6	4	8	18	60	0	56	1	1	6	1	1
2011	6	4	9	12	60	0	56	1	1	6	1	1
2011	6	4	10	6	60	0	56	1	1	6	1	1
2011	6	4	11	60	60	0	29	0	2	6	1	1
2011	6	4	12	54	60	0	29	0	2	6	1	1
2011	6	4	13	48	60	0	29	0	2	6	1	1
2011	6	4	14	42	60	0	29	0	2	6	1	1
2011	6	4	15	36	60	0	29	0	2	6	1	1
2011	6	4	16	30	60	0	29	1	2	6	1	1
2011	6	4	17	24	60	0	29	1	2	6	1	1
2011	6	4	18	18	60	0	29	1	2	6	1	1
2011	6	4	19	12	60	0	29	1	2	6	1	1
2011	6	4	20	6	60	0	29	1	2	6	1	1
2011	6	4	21	60	60	0	101	0	3	6	1	1
2011	6	4	22	54	60	0	101	0	3	6	1	1
2011	6	4	23	48	60	0	101	0	3	6	1	1
2011	6	4	24	42	60	0	101	0	3	6	1	1
2011	6	4	25	36	60	0	101	0	3	6	1	1
2011	6	4	26	30	60	0	101	0	3	6	1	1
2011	6	4	27	24	60	0	101	0	3	6	1	1
2011	6	4	28	18	60	0	101	0	3	6	1	1
2011	6	4	29	12	60	0	101	0	3	6	1	1
2011	6	4	30	6	60	0	101	0	3	6	1	1
2011	6	4	31	60	60	0	15	1	4	6	1	1
2011	6	4	32	54	60	0	15	0	4	6	1	1
2011	6	4	33	48	60	0	15	1	4	6	1	1
2011	6	4	34	42	60	0	15	0	4	6	1	1
2011	6	4	35	36	60	0	15	1	4	6	1	1
2011	6	4	36	30	60	0	15	1	4	6	1	1
2011	6	4	37	24	60	0	15	1	4	6	1	1
2011	6	4	38	18	60	0	15	0	4	6	1	1
2011	6	4	39	12	60	0	15	1	4	6	1	1
2011	6	4	40	6	60	0	15	1	4	6	1	1
2011	6	4	41	60	60	0	7	0	5	6	1	1
2011	6	4	42	54	60	0	7	0	5	6	1	1
2011	6	4	43	48	60	0	7	0	5	6	1	1
2011	6	4	44	42	60	0	7	0	5	6	1	1
2011	6	4	45	36	60	0	7	0	5	6	1	1
2011	6	4	46	30	60	0	7	0	5	6	1	1
2011	6	4	47	24	60	0	7	0	5	6	1	1
2011	6	4	48	18	60	0	7	1	5	6	1	1
2011	6	4	49	12	60	0	7	1	5	6	1	1
2011	6	4	50	6	60	0	7	1	5	6	1	1
2014	8	4	1	60	60	0	7	0	1	7	1	1
2014	8	4	2	54	60	0	7	0	1	7	1	1
2014	8	4	3	48	60	0	7	1	1	7	1	1
2014	8	4	4	42	60	0	7	1	1	7	1	1
2014	8	4	5	36	60	0	7	1	1	7	1	1
2014	8	4	6	30	60	0	7	1	1	7	1	1
2014	8	4	7	24	60	0	7	1	1	7	1	1
2014	8	4	8	18	60	0	7	1	1	7	1	1
2014	8	4	9	12	60	0	7	1	1	7	1	1
2014	8	4	10	6	60	0	7	1	1	7	1	1
2014	8	4	11	60	60	0	101	0	2	7	1	1
2014	8	4	12	54	60	0	101	0	2	7	1	1
2014	8	4	13	48	60	0	101	0	2	7	1	1
2014	8	4	14	42	60	0	101	0	2	7	1	1
2014	8	4	15	36	60	0	101	0	2	7	1	1
2014	8	4	16	30	60	0	101	0	2	7	1	1
2014	8	4	17	24	60	0	101	0	2	7	1	1
2014	8	4	18	18	60	0	101	0	2	7	1	1
2014	8	4	19	12	60	0	101	0	2	7	1	1
2014	8	4	20	6	60	0	101	0	2	7	1	1
2014	8	4	21	60	60	0	15	0	3	7	1	1
2014	8	4	22	54	60	0	15	1	3	7	1	1
2014	8	4	23	48	60	0	15	1	3	7	1	1
2014	8	4	24	42	60	0	15	0	3	7	1	1
2014	8	4	25	36	60	0	15	0	3	7	1	1
2014	8	4	26	30	60	0	15	0	3	7	1	1
2014	8	4	27	24	60	0	15	1	3	7	1	1
2014	8	4	28	18	60	0	15	0	3	7	1	1
2014	8	4	29	12	60	0	15	0	3	7	1	1
2014	8	4	30	6	60	0	15	1	3	7	1	1
2014	8	4	31	60	60	0	56	0	4	7	1	1
2014	8	4	32	54	60	0	56	0	4	7	1	1
2014	8	4	33	48	60	0	56	0	4	7	1	1
2014	8	4	34	42	60	0	56	0	4	7	1	1
2014	8	4	35	36	60	0	56	0	4	7	1	1
2014	8	4	36	30	60	0	56	0	4	7	1	1
2014	8	4	37	24	60	0	56	0	4	7	1	1
2014	8	4	38	18	60	0	56	0	4	7	1	1
2014	8	4	39	12	60	0	56	1	4	7	1	1
2014	8	4	40	6	60	0	56	0	4	7	1	1
2014	8	4	41	60	60	0	29	0	5	7	1	1
2014	8	4	42	54	60	0	29	0	5	7	1	1
2014	8	4	43	48	60	0	29	0	5	7	1	1
2014	8	4	44	42	60	0	29	0	5	7	1	1
2014	8	4	45	36	60	0	29	0	5	7	1	1
2014	8	4	46	30	60	0	29	0	5	7	1	1
2014	8	4	47	24	60	0	29	1	5	7	1	1
2014	8	4	48	18	60	0	29	0	5	7	1	1
2014	8	4	49	12	60	0	29	1	5	7	1	1
2014	8	4	50	6	60	0	29	1	5	7	1	1
2017	9	4	1	60	60	0	15	1	1	8	1	1
2017	9	4	2	54	60	0	15	1	1	8	1	1
2017	9	4	3	48	60	0	15	1	1	8	1	1
2017	9	4	4	42	60	0	15	1	1	8	1	1
2017	9	4	5	36	60	0	15	1	1	8	1	1
2017	9	4	6	30	60	0	15	1	1	8	1	1
2017	9	4	7	24	60	0	15	1	1	8	1	1
2017	9	4	8	18	60	0	15	1	1	8	1	1
2017	9	4	9	12	60	0	15	1	1	8	1	1
2017	9	4	10	6	60	0	15	1	1	8	1	1
2017	9	4	11	60	60	0	7	0	2	8	1	1
2017	9	4	12	54	60	0	7	1	2	8	1	1
2017	9	4	13	48	60	0	7	1	2	8	1	1
2017	9	4	14	42	60	0	7	1	2	8	1	1
2017	9	4	15	36	60	0	7	1	2	8	1	1
2017	9	4	16	30	60	0	7	1	2	8	1	1
2017	9	4	17	24	60	0	7	0	2	8	1	1
2017	9	4	18	18	60	0	7	1	2	8	1	1
2017	9	4	19	12	60	0	7	1	2	8	1	1
2017	9	4	20	6	60	0	7	1	2	8	1	1
2017	9	4	21	60	60	0	29	0	3	8	1	1
2017	9	4	22	54	60	0	29	0	3	8	1	1
2017	9	4	23	48	60	0	29	0	3	8	1	1
2017	9	4	24	42	60	0	29	1	3	8	1	1
2017	9	4	25	36	60	0	29	1	3	8	1	1
2017	9	4	26	30	60	0	29	0	3	8	1	1
2017	9	4	27	24	60	0	29	1	3	8	1	1
2017	9	4	28	18	60	0	29	1	3	8	1	1
2017	9	4	29	12	60	0	29	1	3	8	1	1
2017	9	4	30	6	60	0	29	0	3	8	1	1
2017	9	4	31	60	60	0	101	0	4	8	1	1
2017	9	4	32	54	60	0	101	0	4	8	1	1
2017	9	4	33	48	60	0	101	0	4	8	1	1
2017	9	4	34	42	60	0	101	0	4	8	1	1
2017	9	4	35	36	60	0	101	0	4	8	1	1
2017	9	4	36	30	60	0	101	0	4	8	1	1
2017	9	4	37	24	60	0	101	0	4	8	1	1
2017	9	4	38	18	60	0	101	0	4	8	1	1
2017	9	4	39	12	60	0	101	0	4	8	1	1
2017	9	4	40	6	60	0	101	0	4	8	1	1
2017	9	4	41	60	60	0	56	0	5	8	1	1
2017	9	4	42	54	60	0	56	0	5	8	1	1
2017	9	4	43	48	60	0	56	0	5	8	1	1
2017	9	4	44	42	60	0	56	0	5	8	1	1
2017	9	4	45	36	60	0	56	0	5	8	1	1
2017	9	4	46	30	60	0	56	0	5	8	1	1
2017	9	4	47	24	60	0	56	0	5	8	1	1
2017	9	4	48	18	60	0	56	0	5	8	1	1
2017	9	4	49	12	60	0	56	0	5	8	1	1
2017	9	4	50	6	60	0	56	0	5	8	1	1
2018	10	4	1	6	60	0	29	1	1	9	1	1
2018	10	4	2	12	60	0	29	1	1	9	1	1
2018	10	4	3	18	60	0	29	1	1	9	1	1
2018	10	4	4	24	60	0	29	1	1	9	1	1
2018	10	4	5	30	60	0	29	1	1	9	1	1
2018	10	4	6	36	60	0	29	1	1	9	1	1
2018	10	4	7	42	60	0	29	0	1	9	1	1
2018	10	4	8	48	60	0	29	0	1	9	1	1
2018	10	4	9	54	60	0	29	0	1	9	1	1
2018	10	4	10	60	60	0	29	0	1	9	1	1
2018	10	4	11	6	60	0	15	1	2	9	1	1
2018	10	4	12	12	60	0	15	1	2	9	1	1
2018	10	4	13	18	60	0	15	1	2	9	1	1
2018	10	4	14	24	60	0	15	1	2	9	1	1
2018	10	4	15	30	60	0	15	1	2	9	1	1
2018	10	4	16	36	60	0	15	1	2	9	1	1
2018	10	4	17	42	60	0	15	1	2	9	1	1
2018	10	4	18	48	60	0	15	1	2	9	1	1
2018	10	4	19	54	60	0	15	0	2	9	1	1
2018	10	4	20	60	60	0	15	0	2	9	1	1
2018	10	4	21	6	60	0	56	1	3	9	1	1
2018	10	4	22	12	60	0	56	0	3	9	1	1
2018	10	4	23	18	60	0	56	0	3	9	1	1
2018	10	4	24	24	60	0	56	0	3	9	1	1
2018	10	4	25	30	60	0	56	0	3	9	1	1
2018	10	4	26	36	60	0	56	0	3	9	1	1
2018	10	4	27	42	60	0	56	0	3	9	1	1
2018	10	4	28	48	60	0	56	0	3	9	1	1
2018	10	4	29	54	60	0	56	0	3	9	1	1
2018	10	4	30	60	60	0	56	0	3	9	1	1
2018	10	4	31	6	60	0	7	1	4	9	1	1
2018	10	4	32	12	60	0	7	1	4	9	1	1
2018	10	4	33	18	60	0	7	1	4	9	1	1
2018	10	4	34	24	60	0	7	1	4	9	1	1
2018	10	4	35	30	60	0	7	1	4	9	1	1
2018	10	4	36	36	60	0	7	1	4	9	1	1
2018	10	4	37	42	60	0	7	1	4	9	1	1
2018	10	4	38	48	60	0	7	1	4	9	1	1
2018	10	4	39	54	60	0	7	1	4	9	1	1
2018	10	4	40	60	60	0	7	0	4	9	1	1
2018	10	4	41	6	60	0	101	0	5	9	1	1
2018	10	4	42	12	60	0	101	0	5	9	1	1
2018	10	4	43	18	60	0	101	0	5	9	1	1
2018	10	4	44	24	60	0	101	0	5	9	1	1
2018	10	4	45	30	60	0	101	0	5	9	1	1
2018	10	4	46	36	60	0	101	0	5	9	1	1
2018	10	4	47	42	60	0	101	0	5	9	1	1
2018	10	4	48	48	60	0	101	0	5	9	1	1
2018	10	4	49	54	60	0	101	0	5	9	1	1
2018	10	4	50	60	60	0	101	0	5	9	1	1
2023	2	4	1	60	60	0	15	0	1	10	1	1
2023	2	4	2	54	60	0	15	0	1	10	1	1
2023	2	4	3	48	60	0	15	1	1	10	1	1
2023	2	4	4	42	60	0	15	0	1	10	1	1
2023	2	4	5	36	60	0	15	0	1	10	1	1
2023	2	4	6	30	60	0	15	1	1	10	1	1
2023	2	4	7	24	60	0	15	1	1	10	1	1
2023	2	4	8	18	60	0	15	1	1	10	1	1
2023	2	4	9	12	60	0	15	0	1	10	1	1
2023	2	4	10	6	60	0	15	1	1	10	1	1
2023	2	4	11	60	60	0	29	0	2	10	1	1
2023	2	4	12	54	60	0	29	0	2	10	1	1
2023	2	4	13	48	60	0	29	0	2	10	1	1
2023	2	4	14	42	60	0	29	0	2	10	1	1
2023	2	4	15	36	60	0	29	0	2	10	1	1
2023	2	4	16	30	60	0	29	0	2	10	1	1
2023	2	4	17	24	60	0	29	0	2	10	1	1
2023	2	4	18	18	60	0	29	0	2	10	1	1
2023	2	4	19	12	60	0	29	0	2	10	1	1
2023	2	4	20	6	60	0	29	0	2	10	1	1
2023	2	4	21	60	60	0	7	0	3	10	1	1
2023	2	4	22	54	60	0	7	1	3	10	1	1
2023	2	4	23	48	60	0	7	1	3	10	1	1
2023	2	4	24	42	60	0	7	0	3	10	1	1
2023	2	4	25	36	60	0	7	1	3	10	1	1
2023	2	4	26	30	60	0	7	1	3	10	1	1
2023	2	4	27	24	60	0	7	1	3	10	1	1
2023	2	4	28	18	60	0	7	1	3	10	1	1
2023	2	4	29	12	60	0	7	1	3	10	1	1
2023	2	4	30	6	60	0	7	1	3	10	1	1
2023	2	4	31	60	60	0	56	0	4	10	1	1
2023	2	4	32	54	60	0	56	0	4	10	1	1
2023	2	4	33	48	60	0	56	0	4	10	1	1
2023	2	4	34	42	60	0	56	0	4	10	1	1
2023	2	4	35	36	60	0	56	0	4	10	1	1
2023	2	4	36	30	60	0	56	0	4	10	1	1
2023	2	4	37	24	60	0	56	0	4	10	1	1
2023	2	4	38	18	60	0	56	0	4	10	1	1
2023	2	4	39	12	60	0	56	0	4	10	1	1
2023	2	4	40	6	60	0	56	0	4	10	1	1
2023	2	4	41	60	60	0	101	0	5	10	1	1
2023	2	4	42	54	60	0	101	0	5	10	1	1
2023	2	4	43	48	60	0	101	0	5	10	1	1
2023	2	4	44	42	60	0	101	0	5	10	1	1
2023	2	4	45	36	60	0	101	0	5	10	1	1
2023	2	4	46	30	60	0	101	0	5	10	1	1
2023	2	4	47	24	60	0	101	0	5	10	1	1
2023	2	4	48	18	60	0	101	0	5	10	1	1
2023	2	4	49	12	60	0	101	0	5	10	1	1
2023	2	4	50	6	60	0	101	0	5	10	1	1
2024	3	4	1	60	60	0	29	0	1	11	1	1
2024	3	4	2	54	60	0	29	1	1	11	1	1
2024	3	4	3	48	60	0	29	1	1	11	1	1
2024	3	4	4	42	60	0	29	1	1	11	1	1
2024	3	4	5	36	60	0	29	1	1	11	1	1
2024	3	4	6	30	60	0	29	1	1	11	1	1
2024	3	4	7	24	60	0	29	0	1	11	1	1
2024	3	4	8	18	60	0	29	0	1	11	1	1
2024	3	4	9	12	60	0	29	1	1	11	1	1
2024	3	4	10	6	60	0	29	1	1	11	1	1
2024	3	4	11	60	60	0	56	0	2	11	1	1
2024	3	4	12	54	60	0	56	0	2	11	1	1
2024	3	4	13	48	60	0	56	1	2	11	1	1
2024	3	4	14	42	60	0	56	0	2	11	1	1
2024	3	4	15	36	60	0	56	0	2	11	1	1
2024	3	4	16	30	60	0	56	0	2	11	1	1
2024	3	4	17	24	60	0	56	1	2	11	1	1
